nID_SubjectOrganJoin;sName_UA;sID_UA
1165;Сектор контролю за правильністю визначення митної вартості товарів відділу митних платежів;40000 00 04
1165;Сектор контролю за класифікацією та кодуванням товарів відділу митних платежів;40000 00 05
1165;Відділ митних інформаційних технологій;40000 00 06
1165;Відділ організації митного контролю;40000 00 07
1165;Сектор контролю за переміщенням товарів відділу організації митного контролю;40000 00 08
1165;М/п "Кам'янець-Подільський";40001 00 00
1165;М/п "Славута";40004 00 00
1165;М/п "Хмельницький - центральний";40005 00 00
1165;П/п "Хмельницький - аеропорт";40005 01 00 (130)
1165;Сектор митного оформлення N 1 митного поста "Хмельницький - центральний";40005 00 01
1166;Служба боротьби з контрабандою та порушеннями митних правил;40100 00 01
1166;Відділ кадрової роботи;40100 00 02
1166;Відділ митних платежів;40100 00 03
1166;Відділ митних інформаційних технологій;40100 00 04
1166;Відділ організації митного контролю;40100 00 05
1166;Відділ митного аудиту;40100 00 06
1166;Відділ фінансів, бухгалтерського обліку та звітності;40100 00 07
1166;М/п "Немирів";40103 00 00
1166;Сектор митного оформлення "Гайсин" митного поста "Немирів";40103 00 01
1166;М/п "Жмеринка";40104 00 00
1166;М/п "Дністер";40106 00 00
1166;П/п "Могилів-Подільський - Отач";40106 02 00 (117)
1166;Відділ митного оформлення "Автомобільний" митного поста "Дністер";40106 02 01
1166;П/п "Могилів-Подільський - Волчинець" (станція "Могилів-Подільський");40106 03 00 (127)
1166;Відділ митного оформлення "Залізничний" митного поста "Дністер";40106 03 02
1166;М/п "Ямпіль";40107 00 00
1166;П/п "Велика Косниця - Хрушка";40107 04 00 (217)
1166;П/п "Ямпіль - Косеуць" (річковий);40107 05 00 (147)
1166;П/п "Цекинівка - Сорока" (річковий);40107 06 00 (247)
1166;М/п "Піщанка";40108 00 00
1166;П/п "Болган - Хрістова";40108 07 00 (117)
1166;М/п "Вінниця - центральний";40109 00 00
1166;Відділ митного оформлення N 1 митного поста "Вінниця - центральний";40109 00 01
1166;П/п "Аеропорт - Вінниця";40109 01 00(130)
1167;Служба боротьби з контрабандою та порушеннями митних правил;40300 00 01
1167;Сектор кадрової роботи;40300 00 02
1167;Відділ митних платежів;40300 00 03
1167;Відділ митних інформаційних технологій;40300 00 04
1167;Відділ організації митного контролю;40300 00 05
1167;Відділ митного оформлення N 1;40300 00 06
1167;П/п "Тернопіль - аеропорт";40300 01 00 (130)
1167;М/п "Чортків";40302 00 00
1167;Сектор митного оформлення N 1 митного поста "Чортків";40302 00 01
1167;М/п "Збараж";40303 00 00
1168;Служба боротьби з контрабандою та порушеннями митних правил;40800 00 01
1168;Відділ кадрової роботи;40800 00 02
1168;Відділ митних платежів;40800 00 03
1168;Відділ митних інформаційних технологій;40800 00 04
